Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
1685	0	0	2	2		0.5616,0.7522,0.4124,0.427,0.5383;0.5616,0.5901,0.4124,0.427,0.4978	0.5616,0.7522,0.4124,0.427,0.5383;0.5616,0.5901,0.4124,0.427,0.4978	0.5958,0.73,0.4662,0.4918,0.571;0.5958,0.6102,0.4662,0.4918,0.541	0.5958,0.73,0.4662,0.4918,0.571;0.5958,0.6102,0.4662,0.4918,0.541
1686	0	0	1	1		0.8808,0.427,0.6539	0.8808,0.427,0.6539	0.8442,0.4918,0.668	0.8442,0.4918,0.668
1687	0	0	0	0	Both_failed	0	0	0	0
1688	0	0	16	16		0.4951,0.6717,0.2551,0.474;0.4951,0.6717,0.5616,0.5761;0.4951,0.6717,0.5901,0.5856;0.4951,0.6717,0.6501,0.6056;0.4951,0.6717,0.2551,0.474;0.4951,0.6717,0.5616,0.5761;0.4951,0.6717,0.5901,0.5856;0.4951,0.6717,0.6501,0.6056;0.4951,0.5535,0.2551,0.4346;0.4951,0.5535,0.5616,0.5367;0.4951,0.5535,0.5901,0.5462;0.4951,0.5535,0.6501,0.5662;0.4951,0.2995,0.2551,0.3499;0.4951,0.2995,0.5616,0.4521;0.4951,0.2995,0.5901,0.4616;0.4951,0.2995,0.6501,0.4816	0.4951,0.6717,0.2551,0.474;0.4951,0.6717,0.5616,0.5761;0.4951,0.6717,0.5901,0.5856;0.4951,0.6717,0.6501,0.6056;0.4951,0.6717,0.2551,0.474;0.4951,0.6717,0.5616,0.5761;0.4951,0.6717,0.5901,0.5856;0.4951,0.6717,0.6501,0.6056;0.4951,0.5535,0.2551,0.4346;0.4951,0.5535,0.5616,0.5367;0.4951,0.5535,0.5901,0.5462;0.4951,0.5535,0.6501,0.5662;0.4951,0.2551,0.2995,0.3499;0.4951,0.5616,0.2995,0.4521;0.4951,0.5901,0.2995,0.4616;0.4951,0.2995,0.6501,0.4816	0.5632,0.6756,0.3318,0.5235;0.5632,0.6756,0.5958,0.6115;0.5632,0.6756,0.6102,0.6163;0.5632,0.6756,0.642,0.6269;0.5632,0.6756,0.3318,0.5235;0.5632,0.6756,0.5958,0.6115;0.5632,0.6756,0.6102,0.6163;0.5632,0.6756,0.642,0.6269;0.5632,0.5812,0.3318,0.4921;0.5632,0.5812,0.5958,0.5801;0.5632,0.5812,0.6102,0.5849;0.5632,0.5812,0.642,0.5955;0.5632,0.3142,0.3318,0.4031;0.5632,0.3142,0.5958,0.4911;0.5632,0.3142,0.6102,0.4959;0.5632,0.3142,0.642,0.5065	0.5632,0.6756,0.3318,0.5235;0.5632,0.6756,0.5958,0.6115;0.5632,0.6756,0.6102,0.6163;0.5632,0.6756,0.642,0.6269;0.5632,0.6756,0.3318,0.5235;0.5632,0.6756,0.5958,0.6115;0.5632,0.6756,0.6102,0.6163;0.5632,0.6756,0.642,0.6269;0.5632,0.5812,0.3318,0.4921;0.5632,0.5812,0.5958,0.5801;0.5632,0.5812,0.6102,0.5849;0.5632,0.5812,0.642,0.5955;0.5632,0.3318,0.3142,0.4031;0.5632,0.5958,0.3142,0.4911;0.5632,0.6102,0.3142,0.4959;0.5632,0.3142,0.642,0.5065
1689	0	0	1	1		0.5616,0.2995,0.4124,0.4245	0.4124,0.2995,0.5616,0.4245	0.5958,0.3142,0.4662,0.4587	0.4662,0.3142,0.5958,0.4587
1690	0	0	0	0	Both_failed	0	0	0	0
1691	0	0	0	0	Both_failed	0	0	0	0
1692	0	0	3	3		0.8808,0.4518,0.6663;0.8808,0.7522,0.8165;0.8808,0.427,0.6539	0.8808,0.4518,0.6663;0.8808,0.7522,0.8165;0.8808,0.427,0.6539	0.8442,0.45,0.6471;0.8442,0.73,0.7871;0.8442,0.4918,0.668	0.8442,0.45,0.6471;0.8442,0.73,0.7871;0.8442,0.4918,0.668
1693	0	0	1	1		0.7454,0.5616,0.6535	0.5616,0.7454,0.6535	0.7446,0.5958,0.6702	0.5958,0.7446,0.6702
1694	0	0	0	0	Both_failed	0	0	0	0
