Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
2432	0	0	2	3	Exhaus	0.7522,0.2995,0.5901,0.5616,0.427,0.5261;0.7522,0.2995,0.5535,0.5616,0.427,0.5188	0.5616,0.427,0.5901,0.5535,0.7522,0.5769;0.5616,0.427,0.5901,0.7522,0.2995,0.5261;0.5616,0.427,0.5535,0.7522,0.2995,0.5188	0.73,0.3142,0.6102,0.5958,0.4918,0.5484;0.73,0.3142,0.5812,0.5958,0.4918,0.5426	0.5958,0.4918,0.6102,0.5812,0.73,0.6018;0.5958,0.4918,0.6102,0.73,0.3142,0.5484;0.5958,0.4918,0.5812,0.73,0.3142,0.5426
2433	0	0	0	0	Both_failed	0	0	0	0
2434	0	0	0	0	Both_failed	0	0	0	0
2435	0	0	0	0	Both_failed	0	0	0	0
2436	0	0	0	0	Both_failed	0	0	0	0
2437	0	0	0	0	Both_failed	0	0	0	0
2438	0	0	0	0	Both_failed	0	0	0	0
2439	0	0	0	0	Both_failed	0	0	0	0
2440	0	0	0	0	Both_failed	0	0	0	0
2441	0	0	0	0	Both_failed	0	0	0	0
2442	0	0	0	0	Both_failed	0	0	0	0
2443	0	0	1	2	Exhaus	0.6717,0.6717,0.6149,0.427,0.5963	0.6501,0.6717,0.427,0.6149,0.5909;0.6717,0.6717,0.427,0.6149,0.5963	0.6756,0.6756,0.6454,0.4918,0.6221	0.642,0.6756,0.4918,0.6454,0.6137;0.6756,0.6756,0.4918,0.6454,0.6221
2444	0	0	2	3	Exhaus	0.8288,0.6501,0.7454,0.7414;0.8288,0.6501,0.2995,0.5928	0.8288,0.7454,0.6501,0.7414;0.8288,0.7454,0.2995,0.6246;0.8288,0.6501,0.2995,0.5928	0.7978,0.642,0.7446,0.7281;0.7978,0.642,0.3142,0.5847	0.7978,0.7446,0.642,0.7281;0.7978,0.7446,0.3142,0.6189;0.7978,0.642,0.3142,0.5847
2445	0	0	0	0	Both_failed	0	0	0	0
2446	0	0	0	0	Both_failed	0	0	0	0
2447	0	0	1	1		0.5901,0.2995,0.4518,0.4527,0.4485	0.5901,0.4518,0.4527,0.2995,0.4485	0.6102,0.3142,0.45,0.4992,0.4684	0.6102,0.45,0.4992,0.3142,0.4684
2448	0	0	0	0	Both_failed	0	0	0	0
2449	0	0	0	0	Both_failed	0	0	0	0
2450	0	0	0	0	Both_failed	0	0	0	0
2451	0	0	0	0	Both_failed	0	0	0	0
2452	0	0	0	0	Both_failed	0	0	0	0
2453	0	0	0	0	Both_failed	0	0	0	0
2454	0	0	0	0	Both_failed	0	0	0	0
2455	0	0	0	0	Both_failed	0	0	0	0
2456	0	0	0	0	Both_failed	0	0	0	0
2457	0	0	1	1		0.7057,0.7522,0.5233,0.6604	0.7522,0.7057,0.5233,0.6604	0.673,0.73,0.535,0.646	0.73,0.673,0.535,0.646
2458	0	0	0	0	Both_failed	0	0	0	0
2459	0	0	0	0	Both_failed	0	0	0	0
2460	0	0	0	0	Both_failed	0	0	0	0
2461	0	0	0	0	Both_failed	0	0	0	0
2462	0	0	0	0	Both_failed	0	0	0	0
2463	0	0	0	0	Both_failed	0	0	0	0
2464	0	0	0	0	Both_failed	0	0	0	0
2465	0	0	1	2	Exhaus	0.6717,0.6501,0.4859,0.4124,0.555	0.5535,0.6717,0.4124,0.4859,0.5309;0.6501,0.6717,0.4124,0.4859,0.555	0.6756,0.642,0.5478,0.4662,0.5829	0.5812,0.6756,0.4662,0.5478,0.5677;0.642,0.6756,0.4662,0.5478,0.5829
2466	0	0	0	0	Both_failed	0	0	0	0
2467	0	0	0	0	Both_failed	0	0	0	0
2468	0	0	0	0	Both_failed	0	0	0	0
2469	0	0	0	0	Both_failed	0	0	0	0
2470	0	0	0	0	Both_failed	0	0	0	0
2471	0	0	0	0	Both_failed	0	0	0	0
2472	0	0	1	1	Greedy_contained	0.8808,0.6149,0.6149,0.5616,0.668	0.6149,0.5616,0.8808,0.6858	0.8442,0.6454,0.6454,0.5958,0.6827	0.6454,0.5958,0.8442,0.6951
2473	0	0	0	0	Both_failed	0	0	0	0
2474	0	0	0	0	Both_failed	0	0	0	0
2475	0	0	0	0	Both_failed	0	0	0	0
2476	0	0	0	0	Both_failed	0	0	0	0
2477	0	0	0	0	Both_failed	0	0	0	0
2478	0	0	0	0	Both_failed	0	0	0	0
2479	0	0	1	2	Exhaus	0.6717,0.5535,0.7454,0.7169,0.4124,0.62	0.6717,0.7169,0.7454,0.4124,0.5535,0.62;0.7169,0.7454,0.4124,0.6501,0.5535,0.6157	0.6756,0.5812,0.7446,0.7204,0.4662,0.6376	0.6756,0.7204,0.7446,0.4662,0.5812,0.6376;0.7204,0.7446,0.4662,0.642,0.5812,0.6309
2480	0	0	2	2		0.8808,0.4951,0.2551,0.5437;0.8808,0.4951,0.5901,0.6553	0.4951,0.2551,0.8808,0.5437;0.4951,0.5901,0.8808,0.6553	0.8442,0.5632,0.3318,0.5797;0.8442,0.5632,0.6102,0.6725	0.5632,0.3318,0.8442,0.5797;0.5632,0.6102,0.8442,0.6725
2481	0	0	0	0	Both_failed	0	0	0	0
2482	0	0	0	0	Both_failed	0	0	0	0
2483	0	0	0	0	Both_failed	0	0	0	0
2484	0	0	0	0	Both_failed	0	0	0	0
2485	0	0	0	0	Both_failed	0	0	0	0
2486	0	0	0	0	Both_failed	0	0	0	0
2487	0	0	0	0	Both_failed	0	0	0	0
2488	0	0	0	0	Both_failed	0	0	0	0
2489	0	0	0	0	Both_failed	0	0	0	0
2490	0	0	0	0	Both_failed	0	0	0	0
